TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;031427853486;;8059552739854
M;031427904666;;889214635945
M;031427904671;;889214636287
M;031427904675;;889214636423
M;031427904676;;889214636447
M;031427904678;;889214636485
M;031427910174;;8059552797335
M;031427910198;;8056624072437
M;031427910203;;8056624072550
M;031427910213;;8056624071577
M;031427910214;;8056624071591
M;031427910204;;8056624072574
M;031427910212;;8056624071553
M;031427910215;;8056624071614
M;031427910216;;8056624071638
M;031427910221;;8056624072802
M;031427910222;;8056624072819
M;031427910219;;8056624072772
M;031427910220;;8056624072789
M;031427910217;;8056624071652
M;031427910218;;8056624071676
M;543227433208;;5715793001879
M;543227433209;;5715793001893
M;543227433212;;5715793002975
M;031427910223;;8056624072826
M;543227433210;;5715793002852
M;543227433211;;5715793002876
M;031427910224;;8056624092633
M;031427910225;;8056624092640
M;031427910226;;8056624092541
M;543227433213;;5711747560874
M;543227433214;;5715793032033
M;031427910227;;8056624092565
M;031427910228;;8056624092572
M;031427910229;;8056624092589
M;543227433215;;5715793036000
M;543227433216;;5715793032163
M;543227433217;;5715793036116
M;543227433218;;5715793032255
M;543227433222;;5715793032439
M;543227433219;;5711747558383
M;543227433220;;5711747558482
M;543227433221;;5715793036185
M;543227433223;;5715793032491
M;543227433227;;5715793026155
M;543227433224;;5715793027626
M;543227433225;;5715793017146
M;543227433226;;5715793026148
M;543227433228;;5715793017153
M;543227433231;;5715793032903
M;543227433232;;5715793030008
M;543227433229;;5715793029934
M;543227433230;;5715793032897
M;543227433233;;5715793030015
M;543227433237;;5715793011809
M;543227433234;;5711747506698
M;543227433235;;5711747506735
M;543227433236;;5715793011816
M;543227433238;;5711747591632
M;543227433239;;5715793055766
M;543227433240;;5715793055773
M;543227433241;;5715793055780
M;543227433242;;5715793055797
M;543227433243;;5715793055803
M;543227433244;;5715793055810
M;543227433245;;5715793055827
M;543227433246;;5715793055834
M;543227433247;;5715793055841
M;543227433248;;5715793055858
M;543227433249;;5715793055865
M;543227433250;;5715793055872
M;543227433251;;5715793055889
M;543227433252;;5715793055896
M;543227433256;;5715793055933
M;543227433255;;5715793055926
M;543227433253;;5715793055902
M;543227433254;;5715793055919
M;543227433257;;5715793055940
M;543227433261;;5715793055988
M;543227433258;;5715793055957
M;543227433259;;5715793055964
M;543227433260;;5715793055971
M;543227433262;;5715793055995
M;543227433265;;5715793056022
M;543227433266;;5715793056039
M;543227433263;;5715793056008
M;543227433264;;5715793056015
M;543227433267;;5715793056046
M;543227433271;;5715793056084
M;543227433268;;5715793056053
M;543227433269;;5715793056060
M;543227433270;;5715793056077
M;543227433272;;5715793056091
M;543227811377;;5715793072480
M;543227433273;;5715793056107
M;543227433274;;5715793056114
M;543227811374;;5715793061521
M;543227811375;;5715793029880
M;543227811376;;5715793072442
M;543227811381;;5715793072688
M;543227811378;;5715793072534
M;543227811379;;5711747557652
M;543227811380;;5711747561093
M;543227811382;;5711747560508
M;543227811383;;5715793072817
M;543227811384;;5715793059818
M;543227811385;;5711747560737
M;543227811408;;5715793017139
M;543227811409;;5715793018525
M;543227811406;;5711747603885
M;543227811407;;5715793003767
M;543227811410;;5715793073128
M;543227811411;;5715793073265
M;543227811415;;5711747500580
M;543227811412;;5715793073296
M;543227811413;;5715793073364
M;543227811414;;5715793073371
M;543227811416;;5715793073395
M;543227811417;;5715793073456
M;543227811423;;5715793032873
M;543227811418;;5715793073494
M;543227811419;;5715793020566
M;543227811420;;5715793073517
M;543227811421;;5715793073524
M;543227811422;;5715793029965
M;543227811427;;5715793075931
M;543227811424;;5715793073593
M;543227811425;;5715793073760
M;543227811426;;5715793073784
M;543227811428;;5715793075955
M;543227811429;;5715793075962
M;543227811435;;5715793069398
M;543227811430;;5715793075986
M;543227811431;;5715793073869
M;543227811432;;5715793073852
M;543227811433;;5715793061293
M;543227811434;;5715793061286
M;543227811439;;5715793069435
M;543227811436;;5715793069404
M;543227811437;;5715793069411
M;543227811438;;5715793069428
M;543227811440;;5715793069442
M;543227811444;;5715793069169
M;543227811441;;5715793069138
M;543227811442;;5715793069145
M;543227811443;;5715793069152
M;543227811445;;5715793069176
M;543227811449;;5715793085220
M;543227811446;;5715793069183
M;543227811447;;5715793085206
M;543227811448;;5715793085213
M;543227811453;;5715793085336
M;543227811450;;5715793085237
M;543227811451;;5715793085244
M;543227811452;;5715793085251
M;543227811454;;5715793085343
M;543227811455;;5715793085350
M;543227811456;;5715793085367
M;543227811457;;5715793085374
M;543227811458;;5715793085381
M;543227811459;;5715793087446
M;543227811462;;5715793087477
M;543227811463;;5715793087484
M;543227811460;;5715793087453
M;543227811461;;5715793087460
M;543227811464;;5715793087491
M;543227811465;;5715793087712
M;543227811466;;5715793087729
M;543227811467;;5715793087736
