TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FAMILLE;Floor Pump;Floor Pump;RAYON;wolfis
FAMILLE;Floor Pump Head;Floor Pump Head;RAYON;wolfis
FAMILLE;Floor Stand;Floor Stand;RAYON;wolfis
FAMILLE;Folding Bike;Folding Bike;RAYON;wolfis
FAMILLE;Foot Packs;Foot Packs;RAYON;wolfis
FAMILLE;Fork;Fork;RAYON;wolfis
FAMILLE;Fork Protection;Fork Protection;RAYON;wolfis
FAMILLE;Fox;Fox;RAYON;wolfis
FAMILLE;Frame;Frame;RAYON;wolfis
FAMILLE;Frame Bag;Frame Bag;RAYON;wolfis
FAMILLE;Frame Protection;Frame Protection;RAYON;wolfis
FAMILLE;Frameset;Frameset;RAYON;wolfis
FAMILLE;Freehub body;Freehub body;RAYON;wolfis
FAMILLE;Freewheel Body;Freewheel Body;RAYON;wolfis
FAMILLE;Front Chainwheel;Front Chainwheel;RAYON;wolfis
FAMILLE;Front Derailleur;Front Derailleur;RAYON;wolfis
FAMILLE;Front Light;Front Light;RAYON;wolfis
FAMILLE;FSA;FSA;RAYON;wolfis
FAMILLE;Gap Cap;Gap Cap;RAYON;wolfis
FAMILLE;Gebiomized Service;Gebiomized Service;RAYON;wolfis
FAMILLE;Gel;Gel;RAYON;wolfis
FAMILLE;Gel Pads Set;Gel Pads Set;RAYON;wolfis
FAMILLE;General;General;RAYON;wolfis
FAMILLE;Gift Card;Gift Card;RAYON;wolfis
FAMILLE;Gift Item;Gift Item;RAYON;wolfis
FAMILLE;Glove;Glove;RAYON;wolfis
FAMILLE;Gloves;Gloves;RAYON;wolfis
FAMILLE;Goggle;Goggle;RAYON;wolfis
FAMILLE;Goggle - Youth;Goggle - Youth;RAYON;wolfis
FAMILLE;Google Cleaner;Google Cleaner;RAYON;wolfis
FAMILLE;GPS Devices;GPS Devices;RAYON;wolfis
FAMILLE;GPS Devices - Accessories;GPS Devices - Accessories;RAYON;wolfis
FAMILLE;Gravel Bike;Gravel Bike;RAYON;wolfis
FAMILLE;Gravel Frame;Gravel Frame;RAYON;wolfis
FAMILLE;Gravel Shoes;Gravel Shoes;RAYON;wolfis
FAMILLE;Grease;Grease;RAYON;wolfis
FAMILLE;Groupset;Groupset;RAYON;wolfis
FAMILLE;Hand Pump;Hand Pump;RAYON;wolfis
FAMILLE;Handbike;Handbike;RAYON;wolfis
FAMILLE;Handlebar;Handlebar;RAYON;wolfis
FAMILLE;Handlebar Bag;Handlebar Bag;RAYON;wolfis
FAMILLE;Handlebar Mount;Handlebar Mount;RAYON;wolfis
FAMILLE;Headband;Headband;RAYON;wolfis
FAMILLE;Headlamp;Headlamp;RAYON;wolfis
FAMILLE;Headphone;Headphone;RAYON;wolfis
FAMILLE;Headset;Headset;RAYON;wolfis
FAMILLE;Headset Bearings;Headset Bearings;RAYON;wolfis
FAMILLE;Headset Cover;Headset Cover;RAYON;wolfis
FAMILLE;Headset Spacer;Headset Spacer;RAYON;wolfis
FAMILLE;Headwear;Headwear;RAYON;wolfis
FAMILLE;Heart Rate Belt;Heart Rate Belt;RAYON;wolfis
FAMILLE;Heart Rate Monitor;Heart Rate Monitor;RAYON;wolfis
FAMILLE;Heel Wedges;Heel Wedges;RAYON;wolfis
FAMILLE;Helicoil;Helicoil;RAYON;wolfis
FAMILLE;Helmet;Helmet;RAYON;wolfis
FAMILLE;Helmet - Replacement Parts;Helmet - Replacement Parts;RAYON;wolfis
FAMILLE;Hoods;Hoods;RAYON;wolfis
FAMILLE;Hubs;Hubs;RAYON;wolfis
FAMILLE;Hubs - Service Kits;Hubs - Service Kits;RAYON;wolfis
FAMILLE;Hubs - Spare Parts;Hubs - Spare Parts;RAYON;wolfis
FAMILLE;Hubs - Upgrade Kits;Hubs - Upgrade Kits;RAYON;wolfis
FAMILLE;Hybrid Bike;Hybrid Bike;RAYON;wolfis
FAMILLE;Hydration Back Pack;Hydration Back Pack;RAYON;wolfis
FAMILLE;Hydration Bottle;Hydration Bottle;RAYON;wolfis
FAMILLE;Hydration Drink;Hydration Drink;RAYON;wolfis
FAMILLE;Hydration Front Systems;Hydration Front Systems;RAYON;wolfis
FAMILLE;Hydration Rear Systems;Hydration Rear Systems;RAYON;wolfis
FAMILLE;hydration Spare;hydration Spare;RAYON;wolfis
FAMILLE;Hydraulic Brake Lever;Hydraulic Brake Lever;RAYON;wolfis
FAMILLE;Hydraulic Brake Lever Blade;Hydraulic Brake Lever Blade;RAYON;wolfis
FAMILLE;Hydraulic Brake Parts;Hydraulic Brake Parts;RAYON;wolfis
FAMILLE;Hydraulic Disc Brake;Hydraulic Disc Brake;RAYON;wolfis
FAMILLE;Hydraulic Disc Brake Hose;Hydraulic Disc Brake Hose;RAYON;wolfis
FAMILLE;Hydraulic Disc Brake Hose Kit;Hydraulic Disc Brake Hose Kit;RAYON;wolfis
FAMILLE;Hydraulic Disc Shift/Brake;Hydraulic Disc Shift/Brake;RAYON;wolfis
FAMILLE;Hydraulic Lines;Hydraulic Lines;RAYON;wolfis
FAMILLE;Hydraulic Rim Shift/Brake;Hydraulic Rim Shift/Brake;RAYON;wolfis
FAMILLE;Indoor Trainer Cleaner;Indoor Trainer Cleaner;RAYON;wolfis
FAMILLE;Indoor Trainers;Indoor Trainers;RAYON;wolfis
FAMILLE;Indoor Training Kit;Indoor Training Kit;RAYON;wolfis
FAMILLE;Inflate & Repair;Inflate & Repair;RAYON;wolfis
FAMILLE;Inner Cable Shift;Inner Cable Shift;RAYON;wolfis
FAMILLE;Inner Cap;Inner Cap;RAYON;wolfis
FAMILLE;Inner Tube;Inner Tube;RAYON;wolfis
FAMILLE;Insoles;Insoles;RAYON;wolfis
FAMILLE;Installation Tool;Installation Tool;RAYON;wolfis
FAMILLE;Internal Service Kit;Internal Service Kit;RAYON;wolfis
FAMILLE;Jacket;Jacket;RAYON;wolfis
FAMILLE;Jacket Men;Jacket Men;RAYON;wolfis
FAMILLE;Jacket Women;Jacket Women;RAYON;wolfis
FAMILLE;Jersey;Jersey;RAYON;wolfis
FAMILLE;Jersey and Bibshort Men;Jersey and Bibshort Men;RAYON;wolfis
FAMILLE;Jersey Custom;Jersey Custom;RAYON;wolfis
FAMILLE;Jersey Kids;Jersey Kids;RAYON;wolfis
FAMILLE;Jersey Men;Jersey Men;RAYON;wolfis
FAMILLE;Jersey Unisex;Jersey Unisex;RAYON;wolfis
FAMILLE;Jersey Women;Jersey Women;RAYON;wolfis
FAMILLE;Jersey Womens;Jersey Womens;RAYON;wolfis
FAMILLE;Jerseys;Jerseys;RAYON;wolfis
FAMILLE;Junior Bike;Junior Bike;RAYON;wolfis
FAMILLE;Junior Helmet;Junior Helmet;RAYON;wolfis
FAMILLE;Key;Key;RAYON;wolfis
FAMILLE;Kick Stand;Kick Stand;RAYON;wolfis
FAMILLE;Kids bottles;Kids bottles;RAYON;wolfis
FAMILLE;Kids Glove;Kids Glove;RAYON;wolfis
FAMILLE;Knickers Women;Knickers Women;RAYON;wolfis
FAMILLE;Labor;Labor;RAYON;wolfis
FAMILLE;Lanyard;Lanyard;RAYON;wolfis
FAMILLE;Leash;Leash;RAYON;wolfis
FAMILLE;Leggings;Leggings;RAYON;wolfis
FAMILLE;Lever;Lever;RAYON;wolfis
FAMILLE;Lever Grip;Lever Grip;RAYON;wolfis
FAMILLE;Light Pair;Light Pair;RAYON;wolfis
FAMILLE;Lights;Lights;RAYON;wolfis
FAMILLE;Lights Accessories / Spare part;Lights Accessories / Spare part;RAYON;wolfis
FAMILLE;Lightweight;Lightweight;RAYON;wolfis
FAMILLE;Lock;Lock;RAYON;wolfis
FAMILLE;Lock Ring;Lock Ring;RAYON;wolfis
FAMILLE;Logo - Spare Parts;Logo - Spare Parts;RAYON;wolfis
FAMILLE;Long Sleeve Jerseys;Long Sleeve Jerseys;RAYON;wolfis
FAMILLE;Lubricants;Lubricants;RAYON;wolfis
FAMILLE;Magnet;Magnet;RAYON;wolfis
FAMILLE;Mat;Mat;RAYON;wolfis
FAMILLE;Measuring Tool;Measuring Tool;RAYON;wolfis
FAMILLE;Mechanical Disc Brake;Mechanical Disc Brake;RAYON;wolfis
FAMILLE;Metdomes;Metdomes;RAYON;wolfis
FAMILLE;Mini Pump;Mini Pump;RAYON;wolfis
FAMILLE;Motor Unit;Motor Unit;RAYON;wolfis
FAMILLE;Mount;Mount;RAYON;wolfis
FAMILLE;Mountain Bike;Mountain Bike;RAYON;wolfis
FAMILLE;Mountain Frame;Mountain Frame;RAYON;wolfis
FAMILLE;MTB;MTB;RAYON;wolfis
FAMILLE;Mtb Frame Replacemement Part;Mtb Frame Replacemement Part;RAYON;wolfis
FAMILLE;MTB Jersey Men;MTB Jersey Men;RAYON;wolfis
FAMILLE;MTB Shoe;MTB Shoe;RAYON;wolfis
FAMILLE;MTB Shoes;MTB Shoes;RAYON;wolfis
FAMILLE;MTB Shorts Men;MTB Shorts Men;RAYON;wolfis
FAMILLE;MTB socks;MTB socks;RAYON;wolfis
FAMILLE;MTB Tube;MTB Tube;RAYON;wolfis
FAMILLE;MTB/Casual Shoe;MTB/Casual Shoe;RAYON;wolfis
FAMILLE;Multi Cleaner;Multi Cleaner;RAYON;wolfis
FAMILLE;Multi Tool;Multi Tool;RAYON;wolfis
FAMILLE;M-Wave;M-Wave;RAYON;wolfis
FAMILLE;Neckband;Neckband;RAYON;wolfis
FAMILLE;Nipple;Nipple;RAYON;wolfis
FAMILLE;Nipples;Nipples;RAYON;wolfis
FAMILLE;Nut;Nut;RAYON;wolfis
FAMILLE;Nutrition;Nutrition;RAYON;wolfis
FAMILLE;Nutrition Consultation;Nutrition Consultation;RAYON;wolfis
FAMILLE;Office Equipment;Office Equipment;RAYON;wolfis
FAMILLE;Oil;Oil;RAYON;wolfis
FAMILLE;One Key System;One Key System;RAYON;wolfis
FAMILLE;OSPW;OSPW;RAYON;wolfis
FAMILLE;Other;Other;RAYON;wolfis
FAMILLE;Pair;Pair;RAYON;wolfis
FAMILLE;Pannier Bag;Pannier Bag;RAYON;wolfis
FAMILLE;Pannier Rack;Pannier Rack;RAYON;wolfis
FAMILLE;Pants Men;Pants Men;RAYON;wolfis
FAMILLE;Pants Women;Pants Women;RAYON;wolfis
FAMILLE;Patch Kit;Patch Kit;RAYON;wolfis
FAMILLE;Pedal;Pedal;RAYON;wolfis
FAMILLE;Pedals;Pedals;RAYON;wolfis
FAMILLE;Pedals - Replacement Part;Pedals - Replacement Part;RAYON;wolfis
FAMILLE;Pedals- Accessories;Pedals- Accessories;RAYON;wolfis
FAMILLE;Pegs;Pegs;RAYON;wolfis
FAMILLE;Performance Testing;Performance Testing;RAYON;wolfis
FAMILLE;Pop;Pop;RAYON;wolfis
FAMILLE;Pop Banner;Pop Banner;RAYON;wolfis
FAMILLE;Pop Display Stand;Pop Display Stand;RAYON;wolfis
FAMILLE;Power Meter;Power Meter;RAYON;wolfis
FAMILLE;Power meter Upgrade;Power meter Upgrade;RAYON;wolfis
FAMILLE;Power Meters;Power Meters;RAYON;wolfis
FAMILLE;Power Meters - Accessories;Power Meters - Accessories;RAYON;wolfis
